"Country	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	ActiveCases	SeriousCritical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	CASES per Test	Death in Closed Cases	Rank by Testing rate	Rank by Death rate	Rank by Cases rate	Rank by Death of Closed Cases	TOP_DEATH	TOP_TEST"
"Saint Martin	121		5		49	67	1	3122.00	129	2449.00	63193.00	38754	9.26%	76	44	77	27"
"Liechtenstein	99	1	1		88	10		2595.00	26	900	23595.00	38143	1.12%	124	101	87	165"
"Antigua and Barbuda	94		3		89	2	1	959	31	1738.00	17727.00	98041	3.26%	132	97	122	93"
"St. Vincent Grenadines	58				56	2		523		3033.00	27327.00	110989		117		148	"
"Macao	46				46	0		71		4071.00	6258.00	650532		167		195	"
"Curaça	36		1		31	4		219	6	1080.00	6578.00	164187	3.13%	165	148	176	99"
"Fiji	28		1		20	7		31	1	6693.00	7459.00	897343	4.76%	160	177	206	63"
"Saint Lucia	26				25	1		142		4946.00	26918.00	183744		119		186	"
"Timor-Leste	25				25	0		19		4238.00	3206.00	1321774		177		208	"
"Grenada	24				24	0		213		6252.00	55526.00	112596		84		178	"
"New Caledonia	23				22	1		80		11838.00	41410.00	285874		99		194	"
"Laos	22				19	3		3		35428.00	4860.00	7289790		173		214	"
"Dominica	18				18	0		250		1646.00	22858.00	72011		126		171	"
"Saint Kitts and Nevis	17				17	0		319		1385.00	26009.00	53251		120		162	"
"St. Barth	16				9	7		1619.00		1699.00	171946.00	9881		28		98	"
"Greenland	14				14	0		247		6446.00	113518.00	56784		45		172	"
"Montserrat	13		1		12	0		2604.00	200	61	12220.00	4992	7.69%	145	31	86	32"
"Caribbean Netherlands	13				7	6		495		424	16149.00	26256		136		151	"
"Falkland Islands	13				13	0		3722.00		2256.00	645863.00	3493		6		65	"
"Vatican City	12				12	0		14981.00				801				12	"
"British Virgin Islands	11		1		8	2		364	33	1890.00	62461.00	30259	11.11%	78	94	158	21"
"Western Sahara	10		1		8	1		17	2			599245	11.11%		176	209	21"
"MS Zaandam	9		2			7							100.00%				1"
"Saint Pierre Miquelon	5				1	4		864				5790				128	"
"Anguilla	3				3	0		200		662	44072.00	15021		97		181	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
"																	"
